N = 5, M = 30, max_bits = 10, current_stored = 930, max_stored = 1023
N = 5, M = 31, max_bits = 10, current_stored = 961, max_stored = 1023
N = 5, M = 32, max_bits = 10, current_stored = 992, max_stored = 1023
N = 5, M = 33, max_bits = 10, current_stored = 1023, max_stored = 1023
N = 5, M = 34, max_bits = 11, current_stored = 1054, max_stored = 2047
N = 5, M = 35, max_bits = 11, current_stored = 1085, max_stored = 2047
N = 5, M = 36, max_bits = 11, current_stored = 1116, max_stored = 2047
N = 5, M = 37, max_bits = 11, current_stored = 1147, max_stored = 2047
N = 5, M = 38, max_bits = 11, current_stored = 1178, max_stored = 2047
N = 5, M = 39, max_bits = 11, current_stored = 1209, max_stored = 2047
N = 5, M = 40, max_bits = 11, current_stored = 1240, max_stored = 2047
N = 5, M = 41, max_bits = 11, current_stored = 1271, max_stored = 2047
N = 5, M = 42, max_bits = 11, current_stored = 1302, max_stored = 2047
N = 5, M = 43, max_bits = 11, current_stored = 1333, max_stored = 2047
N = 5, M = 44, max_bits = 11, current_stored = 1364, max_stored = 2047
N = 5, M = 45, max_bits = 11, current_stored = 1395, max_stored = 2047
N = 5, M = 46, max_bits = 11, current_stored = 1426, max_stored = 2047
N = 5, M = 47, max_bits = 11, current_stored = 1457, max_stored = 2047
N = 5, M = 48, max_bits = 11, current_stored = 1488, max_stored = 2047
N = 5, M = 49, max_bits = 11, current_stored = 1519, max_stored = 2047
N = 5, M = 50, max_bits = 11, current_stored = 1550, max_stored = 2047
N = 5, M = 51, max_bits = 11, current_stored = 1581, max_stored = 2047
N = 5, M = 52, max_bits = 11, current_stored = 1612, max_stored = 2047
N = 5, M = 53, max_bits = 11, current_stored = 1643, max_stored = 2047
N = 5, M = 54, max_bits = 11, current_stored = 1674, max_stored = 2047
N = 5, M = 55, max_bits = 11, current_stored = 1705, max_stored = 2047
N = 5, M = 56, max_bits = 11, current_stored = 1736, max_stored = 2047
N = 5, M = 57, max_bits = 11, current_stored = 1767, max_stored = 2047
N = 5, M = 58, max_bits = 11, current_stored = 1798, max_stored = 2047
N = 5, M = 59, max_bits = 11, current_stored = 1829, max_stored = 2047
N = 5, M = 60, max_bits = 11, current_stored = 1860, max_stored = 2047
N = 5, M = 61, max_bits = 11, current_stored = 1891, max_stored = 2047
N = 5, M = 62, max_bits = 11, current_stored = 1922, max_stored = 2047
N = 5, M = 63, max_bits = 11, current_stored = 1953, max_stored = 2047
------------------------------------------
